key,variant,fr_target,de_target,ja_target,ko_target,es_target
onboarding.targetWeight,,Votre poids cible ?,Dein Zielgewicht?,目標の体重は？,목표 체중은 얼마인가요?,¿Tu peso objetivo?
onboarding.tellUsAboutYou,,Parlez-nous de vous,Erzähle uns von dir,あなたについて教えてください,귀하에 대해 알려주세요,Cuéntanos sobre ti
onboarding.title,,Suivi des calories,Kalorien-Tracker,カロリートラッカー,칼로리 트래커,Contador de calorías
permission.camera.title,,Accès à l'appareil photo,Kamerazugriff,カメラへのアクセス,카메라 접근 권한,Acceso a la cámara
profile.currentWeight,,Actuel : %@kg,Aktuell: %@ kg,現在：%@kg,현재: %@kg,Actual: %@ kg
profile.gender,,Genre,Geschlecht,性別,성별,Género
profile.gender.female,,Femme,Weiblich,女性,여성,Mujer
profile.gender.male,,Homme,Männlich,男性,남성,Hombre
profile.gender.nonBinary,,Non-binaire,Nicht-binär,ノンバイナリー,논바이너리,No binario
profile.gender.other,,Autre,Divers,その他,기타,Otro
profile.minWeight,,Poids min,Mindestgewicht,最小体重,최소 체중,Peso mín
recipe.aiChef,,Chef IA,KI-Koch,AIシェフ,AI 셰프,Chef IA
recipe.cookingTime,,Temps de cuisson,Kochzeit,調理時間,조리 시간,Tiempo de cocción
recipe.cookSubtitle,,Cuisinez à votre façon pour atteindre vos objectifs !,Koche dich zu deinen Zielen!,料理を楽しみながら目標を達成しましょう！,맛있게 요리하고 목표를 달성하세요!,¡Cocina a tu manera para alcanzar tus metas!
recipe.delete.description,,Vous ne pourrez pas récupérer cette recette.,Du wirst dieses Rezept nicht wiederherstellen können.,このレシピは復元できません。,이 레시피는 복구할 수 없습니다.,No podrás recuperar esta receta.
recipe.delete.title,,Supprimer la recette ?,Rezept löschen?,レシピを削除しますか？,레시피를 삭제하시겠습니까?,¿Eliminar receta?
recipe.description,,Transformez vos ingrédients disponibles en repas personnalisés adaptés à votre objectif calorique.,"Verwandle deine verfügbaren Zutaten in personalisierte Mahlzeiten, die zu deinem Kalorienziel passen.",家にある食材を使って、カロリー目標に合ったカスタムレシピを作成します。,보유한 재료로 칼로리 목표에 맞는 맞춤형 식단을 만들어 보세요.,Convierte tus ingredientes disponibles en comidas personalizadas que se adapten a tu objetivo calórico.
recipe.detailTitle,,Détail de la recette,Rezeptdetails,レシピの詳細,레시피 상세,Detalle de la receta
recipe.energyValue,,Valeur énergétique,Energiewert,熱量,열량,Valor energético
recipe.error.loadFailed,,Impossible de charger cette recette. Veuillez réessayer.,Dieses Rezept konnte nicht geladen werden. Bitte versuche es erneut.,レシピを読み込めませんでした。もう一度お試しください。,레시피를 불러올 수 없습니다. 다시 시도해 주세요.,"No pudimos cargar esta receta. Por favor, inténtalo de nuevo."
recipe.favorites.emptyDescription,,Il semble que vous n'avez encore rien ajouté à vos favoris.,"Sieht so aus, als hättest du noch keine Favoriten hinzugefügt.",お気に入りに登録されたレシピはまだありません。,아직 즐겨찾기에 추가한 항목이 없습니다.,Parece que aún no has añadido nada a tus favoritos.
recipe.favorites.emptyTitle,,Aucun favori pour le moment,Noch keine Favoriten,お気に入りはまだありません,즐겨찾기 없음,Aún no hay favoritos
recipe.favorites.title,,Favoris,Favoriten,お気に入り,즐겨찾기,Favoritos
recipe.generate,,Générer la recette,Rezept generieren,レシピを生成,레시피 생성,Generar receta
recipe.generating.gatheringIngredients,,Rassemblement de vos ingrédients...,Deine Zutaten werden gesammelt...,食材をまとめています...,재료를 모으는 중...,Reuniendo tus ingredientes...
recipe.ingredients,,Ingrédients,Zutaten,材料,재료,Ingredientes
recipe.ingredientsEmpty,,Aucun ingrédient ajouté pour le moment,Noch keine Zutaten hinzugefügt,まだ食材が追加されていません,아직 추가된 재료가 없습니다,Aún no se han añadido ingredientes
recipe.instructions,,Préparation,Zubereitung,作り方,조리 방법,Preparación
recipe.logAndSave,,Enregistrer & Sauvegarder,Aufzeichnen & Speichern,記録して保存,기록 및 저장,Registrar y guardar
recipe.mealType,,Type de repas,Mahlzeitentyp,食事タイプ,식사 유형,Tipo de comida
recipe.moreIdeas,,Plus d'idées avec vos ingrédients,Mehr Ideen mit deinen Zutaten,手持ちの食材で作れるその他のアイデア,해당 재료로 만들 수 있는 다른 요리,Más ideas con tus ingredientes
recipe.searchPlaceholder,,Rechercher des recettes,Nach Rezepten suchen,レシピを検索,레시피 검색,Buscar recetas
recipe.serving,,Portion,Portion,分量,제공량,Ración
recipe.stepNumber,,Étape %lld,Schritt %lld,ステップ %lld,단계 %lld,Paso %lld
recipe.tabTitle,,Recettes,Rezepte,レシピ,레시피,Recetas
recipe.title,,Recette,Rezept,レシピ,레시피,Receta
recipe.typeIngredientPlaceholder,,Saisissez un ingrédient...,Zutat eingeben...,材料を入力...,재료 입력...,Escribe un ingrediente...
Select size,,Sélectionner la taille,Größe auswählen,サイズを選択,양 선택,Seleccionar tamaño
settings.appleHealth,,Apple Santé,Apple Health,Apple ヘルスケア,Apple 건강,Salud de Apple
settings.glassSize,,Taille du verre,Glasgröße,コップのサイズ,컵 용량,Tamaño del vaso
settings.glassSizeDescription,,Taille de verre standard pour calculer l'apport en eau.,Standard-Glasgröße zur Berechnung der Wasseraufnahme.,水分摂取量を計算するための標準的なコップのサイズです。,수분 섭취량을 계산하기 위한 표준 컵 용량입니다.,Tamaño de vaso estándar para calcular la ingesta de agua.
settings.language,,Langue,Sprache,言語,언어,Idioma
settings.privacyPolicy,,Politique de confidentialité,Datenschutzrichtlinie,プライバシーポリシー,개인정보 처리방침,Política de privacidad
settings.rateUs,,Nous noter,App bewerten,アプリを評価,앱 평가하기,Valorarnos
settings.recalculatePlan,,Recalculer le programme,Plan neu berechnen,プランを再計算,플랜 재계산,Recalcular plan
settings.sectionOther,,Autre,Sonstiges,その他,기타,Otros
settings.sectionPlan,,Programme,Plan,プラン,플랜,Plan
settings.sectionSystem,,Système,System,システム,시스템,Sistema
settings.shareApp,,Partager l'application,App teilen,アプリを共有,앱 공유하기,Compartir aplicación
settings.system,,Système,System,システム,システム,Sistema
settings.title,,Réglages,Einstellungen,設定,설정,Ajustes
settings.unit.imperial,,lbs/ft,lbs/ft,lbs/ft,lbs/ft,lbs/ft
settings.unit.metric,,kg/cm,kg/cm,kg/cm,kg/cm,kg/cm
settings.unitOfMeasurement,,Unités,Einheiten,単位,단위,Unidades
settings.writeFeedback,,Rédiger un avis,Feedback schreiben,フィードバックを送信,의견 보내기,Escribir comentarios
statistics.caloriesEaten,,Calories consommées,Konsumierte Kalorien,摂取カロリー,섭취한 칼ロ리,Calorías consumidas
statistics.caloriesGoal,,Objectif : %@ kcal,Ziel: %@ kcal,目標：%@ kcal,목표: %@ kcal,Objetivo: %@ kcal
statistics.noData,,Aucune donnée disponible,Keine Daten verfügbar,利用可能なデータがありません,표시할 데이터가 없습니다,No hay datos disponibles
statistics.period.day,,Jour,Tag,日,일,Día
statistics.period.oneMonth,,1 mois,1 Monat,1ヶ月,1개월,1 mes
statistics.period.oneYear,,1 an,1 Jahr,1年,1년,1 año
statistics.period.sevenDays,,7 jours,7 Tage,7日間,7일,7 días
statistics.period.sixMonths,,6 mois,6 Monate,6ヶ月,6개월,6 meses
statistics.title,,Statistiques,Statistiken,統計,통계,Estadísticas
statistics.weightCurrent,,Actuel : %@ kg,Aktuell: %@ kg,現在：%@ kg,현재: %@ kg,Actual: %@ kg
subscription.adUnlockPrompt,,"Regardez une courte publicité pour débloquer gratuitement, ou passez à Premium pour un accès illimité.","Schaue eine kurze Werbung, um es kostenlos freizuschalten, oder hole dir Premium für unbegrenzten Zugriff.",短い広告を視聴して無料で解除するか、Premiumで無制限にアクセスできます。,"짧은 광고를 시청하고 무료로 이용하거나, Premium으로 제한 없이 이용해 보세요.",Mira un anuncio corto para desbloquear gratis o obtén Premium para acceso ilimitado.
subscription.getPremium,,Obtenir Premium,Premium holen,Premiumを取得,Premium 구매,Obtener Premium
subscription.lifetime,,À vie,Lebenslang,生涯,평생,De por vida
subscription.monthly,,Mensuel,Monatlich,月額,월간,Mensual
subscription.paywall.autoRenewCancelAnytime,,Renouvellement automatique. Annulez à tout moment.,Automatische Verlängerung. Jederzeit kündbar.,自動更新。いつでもキャンセル可能。,자동 갱신. 언제든 취소 가능.,Renovación automática. Cancela en cualquier momento.
subscription.paywall.bestOffer,,Meilleure offre,Bestes Angebot,最もお得,최고의 혜택,Mejor oferta
subscription.paywall.popular,,Populaire,Beliebt,人気,인기,Popular
subscription.paywall.pricePerPeriod,,Seulement %1$@/%2$@,Nur %1$@/%2$@,わずか%1$@/%2$@,단 %1$@/%2$@,Solo %1$@/%2$@
subscription.paywall.pricePerWeek,,Seulement %@/semaine,Nur %@/Woche,わずか%@/週,주당 단 %@,Solo %@/semana
subscription.paywall.savePercent,,Économisez %@%%,%@%% sparen,%@%%オフ,%@%% 할인,Ahorra un %@%%
subscription.paywall.termAutoRenew,,• Votre abonnement se renouvelle automatiquement sauf si le renouvellement automatique est désactivé au moins 24 heures avant la fin de la période en cours.,"• Dein Abonnement verlängert sich automatisch, es sei denn, die automatische Verlängerung wird mindestens 24 Stunden vor dem Ende des aktuellen Zeitraums deaktiviert.",• サブスクリプションは、現在の期間が終了する少なくとも24時間前に自動更新をオフにしない限り、自動的に更新されます。,• 현재 구독 기간이 끝나기 최소 24시간 전에 자동 갱신을 해제하지 않으면 구독이 자동으로 갱신됩니다.,• Tu suscripción se renueva automáticamente a menos que se desactive la renovación automática al menos 24 horas antes del final del período actual.
subscription.paywall.termCharge,,"• Une fois la commande confirmée, le paiement sera débité de votre compte iTunes.","• Sobald du den Kauf bestätigst, wird deine Zahlung deinem iTunes-Konto belastet.",• 購入を確定すると、iTunesアカウントに料金が請求されます。,• 구매를 확인하면 iTunes 계정으로 결제 금액이 청구됩니다.,"• Una vez confirmada la compra, el pago se cargará a tu cuenta de iTunes."
subscription.paywall.termManage,,• L'abonnement peut être géré par l'utilisateur et le renouvellement automatique peut être désactivé dans les réglages du compte après l'achat.,"• Das Abonnement kann vom Benutzer verwaltet werden, und die automatische Verlängerung kann nach dem Kauf in den Kontoeinstellungen deaktiviert werden.",• サブスクリプションはユーザーが管理でき、購入後にアカウント設定に移動して自動更新をオフにすることができます。,"• 구독은 사용자가 관리할 수 있으며, 구매 후 계정 설정으로 이동하여 자동 갱신을 해제할 수 있습니다.",• El usuario puede gestionar la suscripción y desactivar la renovación automática accediendo a la Configuración de la cuenta tras la compra.
subscription.paywall.termPriceWeeklyYearly,,• Le prix de l'abonnement hebdomadaire est de %1$@ et l'abonnement annuel est de %2$@ (%3$@ par semaine).,• Der Preis für das wöchentliche Abonnement beträgt %1$@ und für das jährliche Abonnement %2$@ (%3$@ pro Woche).,• 週間サブスクリプションの価格は%1$@、年間サブスクリプションは%2$@（週あたり%3$@）です。,"• 주간 구독 가격은 %1$@이며, 연간 구독 가격은 %2$@(%3$@ per week)입니다.",• El precio de la suscripción semanal es de %1$@ y la suscripción anual es de %2$@ (%3$@ por semana).
subscription.paywall.termPriceWeeklyYearlyMonthly,,"• Le prix de l'abonnement hebdomadaire est de %1$@, l'abonnement annuel est de %2$@ (%3$@ par semaine) et l'abonnement mensuel est de %4$@.","• Der Preis für das wöchentliche Abonnement beträgt %1$@, das jährliche Abonnement %2$@ (%3$@ pro Woche) und das monatliche Abonnement %4$@.",• 週間サブスクリプションの価格は%1$@、年間サブスクリプションは%2$@（週あたり%3$@）、月間サブスクリプションは%4$@です。,"• 주간 구독 가격은 %1$@, 연간 구독 가격은 %2$@(%3$@ per week), 월간 구독 가격은 %4$@입니다.","• El precio de la suscripción semanal es de %1$@, la suscripción anual es de %2$@ (%3$@ por semana) y la suscripción mensual es de %4$@."
subscription.paywall.termRenewal,,• Votre compte sera débité pour le renouvellement dans les 24 heures précédant la fin de la période en cours.,• Dein Konto wird innerhalb von 24 Stunden vor dem Ende des aktuellen Zeitraums für die Verlängerung belastet.,• 現在の期間が終了する24時間以内に、アカウントに更新料金が請求されます。,• 현재 구독 기간이 끝나기 24시간 이내에 갱신 비용이 계정으로 청구됩니다.,• Se cobrará la renovación en tu cuenta dentro de las 24 horas anteriores al final del período actual.
subscription.period.lifeTime,,à vie,lebenslang,一生涯,평생,de por vida
subscription.period.month,,mois,Monat,月,월,mes
subscription.period.week,,semaine,Woche,週,주,semana
subscription.period.year,,an,Jahr,年,년,año
subscription.perWeek,,Par semaine,Pro Woche,1週間あたり,주당,Por semana
subscription.privacyPolicy,,Politique de confidentialité,Datenschutzrichtlinie,プライバシーポリシー,개인정보 처리방침,Política de privacidad
subscription.restorePurchase,,Restaurer,Wiederherstellen,復元,구매 복원,Restaurar
subscription.terms,,Conditions d'abonnement,Abonnementbedingungen,定期購読規約,구독 약관,Términos de suscripción
subscription.termsOfUse,,Conditions d'utilisation,Nutzungsbedingungen,利用規約,이용 약관,Términos de uso
subscription.unlockFeature,,Débloquer cette fonctionnalité,Funktion freischalten,この機能を解除,이 기능 잠금 해제,Desbloquear esta función
subscription.watchAd,,Regarder une publicité,Werbung ansehen,広告を視聴,광고 시청,Ver anuncio
subscription.weekly,,Hebdomadaire,Wöchentlich,週額,주간,Semanal
subscription.yearly,,Annuel,Jährlich,年額,연간,Anual
tab.add,,Ajouter,Hinzufügen,追加,추가,Añadir
tab.recipe,,Recettes,Rezepte,レシピ,레시피,Recetas
tab.tracking,,Suivi,Tracking,記録,기록,Seguimiento
toast.activity.logFailed,,Échec de l'enregistrement de l'activité,Aktivität konnte nicht aufgezeichnet werden,アクティビティの記録に失敗しました,활동 기록에 실패했습니다,Error al registrar la actividad
toast.activity.logSuccess,,Activité enregistrée avec succès,Aktivität erfolgreich aufgezeichnet,アクティビティを記録しました,활동이 성공적으로 기록되었습니다,Actividad registrada con éxito
toast.aiChef.ingredientNotFound,,Impossible de trouver ces ingrédients.,Diese Zutaten konnten nicht gefunden werden.,これらの食材が見つかりませんでした。,해당 재료를 찾을 수 없습니다.,No se pudieron encontrar estos ingredientes.
toast.aiChef.recipeGenerateFailed,,Nous n'avons pas pu générer vos recettes. Veuillez réessayer.,Rezepte konnten nicht generiert werden. Bitte versuche es erneut.,レシピを生成できませんでした。もう一度お試しください。,레시피를 생성할 수 없습니다. 다시 시도해 주세요.,"No pudimos generar tus recetas. Por favor, inténtalo de nuevo."
toast.common.networkError,,Erreur de connexion réseau. Veuillez réessayer.,Netzwerkfehler. Bitte versuche es erneut.,ネットワーク接続エラー。もう一度お試しください。,네트워크 연결 오류입니다. 다시 시도해 주세요.,"Error de conexión de red. Por favor, inténtalo de nuevo."
toast.common.somethingWrongPleaseTryAgain,,Un problème est survenu. Veuillez réessayer.,Etwas ist schiefgelaufen. Bitte versuche es erneut.,エラーが発生しました。もう一度お試しください。,문제가 발생했습니다. 다시 시도해 주세요.,"Algo salió mal. Por favor, inténtalo de nouveau."
toast.favourite.updateFailed,,Échec de la mise à jour des favoris,Favoriten konnten nicht aktualisiert werden,お気に入りの更新に失敗しました,즐겨찾기 업데이트 실패,Error al actualizar favoritos
toast.meal.logFailed,,Échec de l'enregistrement du repas,Mahlzeit konnte nicht aufgezeichnet werden,食事の記録に失敗しました,식사 기록에 실패했습니다,Error al registrar la comida
toast.meal.logSuccess,,Repas enregistré avec succès,Mahlzeit erfolgreich aufgezeichnet,食事を記録しました,식사가 성공적으로 기록되었습니다,Comida registrada con éxito
toast.tracking.logSuccessNamed,,Enregistrement réussi de %1$@,%1$@ erfolgreich aufgezeichnet,%1$@を記録しました,%1$@ 성공적으로 기록됨,%1$@ registrado con éxito
toast.water.logFailed,,Échec de l'enregistrement de l'eau,Wasseraufnahme konnte nicht aufgezeichnet werden,水分摂取の記録に失敗しました,수분 기록에 실패했습니다,Error al registrar agua
toast.water.logSuccess,,Eau enregistrée avec succès,Wasseraufnahme erfolgreich aufgezeichnet,水分摂取を記録しました,수분이 성공적으로 기록되었습니다,Agua registrada con éxito
toast.weight.logFailed,,Échec de l'enregistrement du poids,Gewicht konnte nicht aufgezeichnet werden,体重の記録に失敗しました,체중 기록에 실패했습니다,Error al registrar peso
toast.weight.logSuccess,,Poids enregistré avec succès,Gewicht erfolgreich aufgezeichnet,体重を記録しました,체중이 성공적으로 기록되었습니다,Peso registrado con éxito
water.glassCount,,Nombre de verres,Anzahl der Gläser,コップの数,컵 수,Número de vasos
water.glassCount,plural.one,%lld verre,%lld Glas,%lld杯,%lld잔,%lld vaso
water.glassCount,plural.other,%lld verres,%lld Gläser,%lld杯,%lld잔,%lld vasos
water.glassSize,,Taille du verre,Glasgröße,コップのサイズ,컵 용量,Tamaño del vaso
water.glassSizeDescription,,Définissez la quantité d'eau par verre lors de l'enregistrement,Stelle die Wassermenge pro Glas für die Aufzeichnung ein,記録時のコップ1杯あたりの水量を設定,기록 시 컵 1잔당 수분 양 설정,Ajusta la cantidad de agua por vaso al registrar
water.intake,,Consommation d'eau,Wasseraufnahme,水分摂取量,수분 섭취량,Ingesta de agua
water.log,,Enregistrer la consommation d'eau,Wasser aufzeichnen,水分を記録,수분 기록,Registrar agua
water.title,,Eau,Wasser,水,수분,Agua
weight.goalWeight,,Poids cible : %@,Zielgewicht: %@,目標体重：%@,목표 체중: %@,Peso objetivo: %@
weight.log,,Enregistrer le poids,Gewicht aufzeichnen,体重を記録,체중 기록,Registrar peso
weight.title,,Poids,Gewicht,体重,체중,Peso
